"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
" X5",2017,31900,"Automatic",21379,"Diesel",200,47.1,3
" Z4",2020,30990,"Semi-Auto",100,"Petrol",150,38.7,2
" X4",2020,43000,"Semi-Auto",857,"Diesel",145,40.9,3
" 5 Series",2017,23941,"Semi-Auto",23095,"Diesel",125,60.1,2
" X2",2020,34990,"Semi-Auto",10,"Petrol",150,34,2
" 4 Series",2019,27480,"Semi-Auto",101,"Diesel",145,55.4,3
" 3 Series",2019,39980,"Semi-Auto",3007,"Petrol",150,34.9,3
" 3 Series",2015,16295,"Manual",37500,"Petrol",205,42.8,2
" X3",2019,37495,"Semi-Auto",9250,"Diesel",150,48.7,3
" 3 Series",2013,10990,"Automatic",76000,"Diesel",125,58.9,2
" 3 Series",2019,24450,"Manual",3340,"Diesel",145,54.3,2
" 5 Series",2017,17900,"Automatic",41284,"Diesel",20,68.9,2
" 5 Series",2015,13490,"Automatic",47000,"Diesel",30,62.8,2
" 1 Series",2015,8700,"Manual",61959,"Diesel",20,68.9,2
" 5 Series",2012,12990,"Automatic",67000,"Diesel",160,49.6,3
" 6 Series",2014,17500,"Automatic",51920,"Diesel",160,49.6,3
" 1 Series",2016,17890,"Manual",26193,"Petrol",260,36.2,3
" 2 Series",2017,17450,"Manual",22661,"Diesel",150,62.8,1.5
" 5 Series",2016,20000,"Semi-Auto",46367,"Diesel",165,50.4,3
" 2 Series",2017,10999,"Automatic",79715,"Diesel",125,60.1,2
" X1",2013,12490,"Manual",33584,"Diesel",165,51.4,2
" 4 Series",2019,32440,"Manual",3792,"Diesel",145,62.8,2
" 2 Series",2019,21950,"Semi-Auto",15470,"Diesel",150,47.1,2
" X2",2019,30000,"Semi-Auto",5431,"Diesel",145,48.7,2
" X3",2015,20500,"Automatic",35000,"Diesel",145,54.3,2
" 1 Series",2017,11900,"Manual",22920,"Petrol",145,53.3,1.5
" i8",2018,55485,"Automatic",13909,"Hybrid",135,134.5,1.5
" 1 Series",2019,20999,"Semi-Auto",7351,"Diesel",145,68.9,2
" 1 Series",2013,9270,"Automatic",53000,"Diesel",30,62.8,2
" 3 Series",2016,14000,"Automatic",91707,"Diesel",150,53.3,3
" 1 Series",2016,10514,"Manual",39512,"Diesel",0,78.5,1.5
" 1 Series",2017,13495,"Manual",25491,"Diesel",150,68.9,2
" X1",2014,8500,"Manual",92500,"Diesel",160,51.4,2
" 3 Series",2002,2350,"Manual",99000,"Petrol",325,30.1,2.2
" 2 Series",2020,22950,"Manual",500,"Petrol",145,42.8,1.5
" X5",2016,25000,"Automatic",52816,"Diesel",160,50.4,2
" 5 Series",2016,12800,"Automatic",57790,"Diesel",30,65.7,2
" 6 Series",2020,34490,"Semi-Auto",5,"Petrol",145,42.8,2
" 3 Series",2019,33990,"Automatic",5621,"Diesel",145,52.3,2
" 5 Series",2017,21498,"Semi-Auto",34296,"Diesel",145,65.7,2
" 2 Series",2017,14485,"Automatic",21697,"Petrol",30,55.4,1.5
" 5 Series",2019,26498,"Semi-Auto",16466,"Diesel",145,60.1,2
" 5 Series",2015,15990,"Automatic",50000,"Diesel",160,50.4,3
" 2 Series",2014,16999,"Automatic",39573,"Petrol",260,37.2,3
" X1",2019,24550,"Manual",3228,"Petrol",145,51.4,1.5
" 1 Series",2016,10899,"Manual",46035,"Diesel",20,70.6,1.5
" 1 Series",2019,22999,"Manual",3641,"Diesel",145,58.9,1.5
" 2 Series",2019,30480,"Automatic",123,"Petrol",145,38.2,3
" Z4",2010,9440,"Manual",68090,"Petrol",305,33.2,2.5
" 1 Series",2015,12300,"Automatic",32694,"Diesel",20,72.4,1.5
" 1 Series",2018,11700,"Manual",30273,"Diesel",145,53.3,1.5
" 2 Series",2016,12150,"Manual",57417,"Petrol",125,50.4,1.5
" 3 Series",2019,30761,"Semi-Auto",3465,NA,150,52.3,2
" 3 Series",2017,11499,"Manual",66488,"Diesel",20,68.9,2
" 3 Series",2015,17190,"Semi-Auto",51050,"Diesel",200,49.6,3
" 1 Series",2015,12800,"Manual",37391,"Diesel",30,65.7,2
" 5 Series",2019,31480,"Semi-Auto",4659,"Diesel",150,60.1,3
" 2 Series",2016,20600,"Automatic",22901,"Petrol",260,37.2,3
" 3 Series",2016,20990,"Automatic",35000,"Diesel",160,51.4,3
" 1 Series",2020,28790,"Semi-Auto",953,"Diesel",145,51.4,2
" 4 Series",2018,20499,"Automatic",9629,"Petrol",145,45.6,2
" 3 Series",2015,11500,"Automatic",86731,"Diesel",145,55.4,2
" 1 Series",2018,19499,"Automatic",8316,"Diesel",145,44.1,2
" 3 Series",2004,3990,"Manual",82785,"Petrol",330,29.4,2.5
" 1 Series",2019,15199,"Manual",10374,"Petrol",145,53.3,1.5
" 3 Series",2020,43880,"Automatic",5980,"Hybrid",135,8.8,2
" 3 Series",2016,16995,"Semi-Auto",20756,"Diesel",30,64.2,2
" X2",2020,28993,"Semi-Auto",101,"Diesel",145,61.4,2
" X5",2019,48990,"Semi-Auto",6046,"Petrol",145,27.2,3
" 3 Series",2017,19450,"Semi-Auto",24701,"Diesel",30,62.8,2
" X5",2020,57990,"Semi-Auto",1500,"Diesel",145,37.7,3
" 2 Series",2016,13995,"Manual",36250,"Diesel",30,64.2,2
" 2 Series",2018,13470,"Automatic",67062,"Diesel",145,51.4,2
" 3 Series",2016,18439,"Automatic",32731,"Hybrid",0,134.5,2
" X1",2013,12685,"Semi-Auto",60926,"Diesel",160,52.3,2
" X1",2019,19980,"Manual",7113,"Petrol",145,51.4,1.5
" X5",2019,51250,"Semi-Auto",3658,"Diesel",145,37.7,3
" 3 Series",2019,28450,"Semi-Auto",9809,"Petrol",145,43.5,2
" 3 Series",2013,14671,"Semi-Auto",27604,"Petrol",200,43.5,2
" M6",2014,29000,"Automatic",34000,"Petrol",565,28.5,4.4
" X5",2019,61682,"Semi-Auto",10782,"Diesel",145,33.6,3
" 3 Series",2016,18788,"Automatic",49477,"Diesel",145,53.3,3
" 2 Series",2017,18990,"Semi-Auto",31208,"Diesel",150,65.7,2
" 1 Series",2019,19940,"Semi-Auto",2635,"Petrol",145,54.3,1.5
" 2 Series",2020,23950,"Semi-Auto",11,"Petrol",145,50.4,1.5
" 3 Series",2019,31990,"Semi-Auto",6313,"Petrol",150,41.5,2
" X4",2017,22000,"Automatic",58056,"Diesel",145,54.3,2
" 4 Series",2018,21789,"Automatic",35423,"Diesel",145,55.4,3
" 4 Series",2015,14999,"Manual",36781,"Diesel",145,53.3,2
" X5",2019,46990,"Semi-Auto",2754,"Diesel",145,37.7,3
" 5 Series",2019,36750,"Semi-Auto",8027,"Diesel",145,51.4,3
" 4 Series",2016,20641,"Automatic",24939,"Diesel",160,50.4,3
" X5",2019,47162,"Automatic",9815,"Diesel",145,37.7,3
" 3 Series",2013,9174,"Automatic",79144,"Diesel",30,62.8,2
" X6",2019,61895,"Semi-Auto",1629,"Diesel",145,34.9,3
" X5",2019,65000,"Automatic",7374,"Hybrid",140,188.3,3
" X5",2019,44800,"Semi-Auto",7030,"Diesel",145,37.7,3
" 2 Series",2019,22773,"Automatic",153,"Diesel",145,49.6,2
" 3 Series",2015,12600,"Automatic",78957,"Diesel",30,62.8,2
" X3",2017,21500,"Automatic",35902,"Diesel",150,54.3,2
" 1 Series",2019,19999,"Semi-Auto",5963,"Petrol",145,54.3,1.5
" X1",2014,10295,"Semi-Auto",55000,"Diesel",150,56.5,2
" 5 Series",2015,13980,"Semi-Auto",29719,"Diesel",20,68.9,2
" 1 Series",2016,18990,"Semi-Auto",11538,"Petrol",200,39.8,3
" X4",2019,37980,"Semi-Auto",10797,"Diesel",145,40.4,3
" 1 Series",2017,9600,"Manual",58023,"Diesel",20,68.9,2
" 2 Series",2017,21499,"Automatic",19502,"Petrol",145,39.8,3
" 2 Series",2017,15200,"Automatic",23610,"Petrol",150,51.4,1.5
" X4",2018,25980,"Semi-Auto",21694,"Diesel",150,54.3,2
" 5 Series",2019,27916,"Automatic",6456,"Diesel",145,60.1,2
" X5",2019,69995,"Semi-Auto",1606,"Hybrid",135,188.3,3
" X1",2016,14499,"Manual",27795,"Diesel",20,68.9,2
" 5 Series",2018,31490,"Semi-Auto",11798,"Petrol",150,39.2,3
" M4",2016,34932,"Semi-Auto",23765,"Petrol",300,34,3
" X1",2018,22000,"Automatic",20017,"Petrol",145,44.8,2
" 4 Series",2017,21170,"Semi-Auto",8161,"Diesel",145,65.7,2
" X1",2016,16000,"Manual",20737,"Diesel",125,60.1,2
" Z4",2019,33991,"Semi-Auto",10018,"Petrol",150,37.2,2
" X1",2017,21998,"Semi-Auto",5020,"Diesel",145,60.1,2
" 4 Series",2015,18290,"Semi-Auto",25000,"Diesel",145,56.5,3
" X2",2020,34999,"Automatic",1217,"Diesel",145,58.9,2
" 5 Series",2020,32850,"Semi-Auto",5,"Hybrid",145,62.8,2
" X5",2014,24480,"Automatic",66088,"Diesel",205,47.1,3
" 4 Series",2015,10000,"Manual",99340,"Diesel",30,62.8,2
" 4 Series",2015,15998,"Semi-Auto",62943,"Diesel",30,65.7,2
" X5",2019,59980,"Semi-Auto",9257,"Diesel",150,33.6,3
" 3 Series",2017,21275,"Semi-Auto",14714,"Diesel",160,51.4,3
" 1 Series",2019,22940,"Manual",5170,"Petrol",145,41.5,1.5
" 1 Series",2013,6990,"Manual",66000,"Diesel",125,60.1,2
" 4 Series",2019,24975,"Semi-Auto",9533,"Diesel",145,65.7,2
" 3 Series",2018,27500,"Semi-Auto",9329,"Diesel",145,51.4,3
" X4",2015,15199,"Automatic",95408,"Diesel",145,54.3,2
" 1 Series",2014,15000,"Manual",44514,"Petrol",305,35.3,3
" 3 Series",2016,13495,"Automatic",74000,"Diesel",30,64.2,2
" 3 Series",2020,36995,"Manual",103,"Diesel",145,54.3,2
" X2",2019,31800,"Semi-Auto",2188,"Petrol",150,34.9,2
" 3 Series",2014,13980,"Manual",16376,"Diesel",30,62.8,2
" 5 Series",2018,26995,"Automatic",6800,"Diesel",145,68.9,2
" 4 Series",2019,22450,"Manual",115,"Petrol",145,46.3,2
" 1 Series",2017,18980,"Semi-Auto",42660,"Petrol",150,39.8,3
" 3 Series",2017,18500,"Automatic",29130,"Hybrid",135,148.7,2
" 5 Series",2017,23898,"Semi-Auto",11896,"Diesel",30,65.7,2
" 1 Series",2017,22480,"Semi-Auto",24552,"Petrol",145,39.8,3
" 2 Series",2017,16990,"Manual",13566,"Diesel",30,64.2,2
" 3 Series",2019,37980,"Semi-Auto",2459,"Petrol",145,34.9,3
" 1 Series",2019,20875,"Semi-Auto",4834,"Diesel",145,67.3,2
" 1 Series",2017,14397,"Manual",9243,"Petrol",145,52.3,1.5
" X4",2019,37995,"Semi-Auto",5809,"Diesel",145,42.8,2
" 2 Series",2019,22950,"Semi-Auto",7477,"Petrol",150,47.9,2
" 6 Series",2012,12970,"Automatic",50319,"Diesel",160,51.4,3
" 3 Series",2019,33690,"Semi-Auto",8718,"Diesel",145,47.9,3
" 6 Series",2015,16250,"Automatic",72720,"Diesel",160,49.6,3
" X4",2016,19250,"Automatic",43751,"Diesel",145,54.3,2
" X4",2019,36490,"Semi-Auto",8432,"Diesel",150,42.8,2
" 4 Series",2018,27000,"Semi-Auto",14519,"Diesel",145,50.4,3
" M4",2019,41990,"Semi-Auto",1348,"Petrol",145,34,3
" 2 Series",2019,20950,"Semi-Auto",6418,"Petrol",145,47.9,2
" 2 Series",2019,23322,"Manual",123,"Petrol",145,52.3,1.5
" 3 Series",2013,6995,"Manual",93729,"Petrol",125,53.3,1.6
" X1",2017,17400,"Automatic",18911,"Diesel",145,65.7,2
" 1 Series",2019,28888,"Automatic",999,"Diesel",145,48.7,2
" 1 Series",2017,20480,"Semi-Auto",34218,"Petrol",205,39.8,3
" 1 Series",2017,15995,"Semi-Auto",21469,"Diesel",20,70.6,2
" 3 Series",2017,16746,"Automatic",32230,"Diesel",30,64.2,2
" 3 Series",2015,9350,"Automatic",91969,"Diesel",20,68.9,2
" 1 Series",2017,14998,"Semi-Auto",48972,"Diesel",150,65.7,2
" 5 Series",2016,18496,"Semi-Auto",8392,"Petrol",200,43.5,2
" 3 Series",2016,18990,"Automatic",26000,"Other",0,134.5,2
" 3 Series",2017,16490,"Semi-Auto",30835,"Diesel",145,70.6,2
" 1 Series",2016,10399,"Manual",33546,"Diesel",0,83.1,1.5
" 4 Series",2016,17800,"Automatic",24085,"Diesel",30,65.7,2
" 3 Series",2012,7000,"Manual",93819,"Diesel",20,68.9,2
" 2 Series",2020,34000,"Semi-Auto",2986,"Petrol",145,36.2,2
" 4 Series",2016,15250,"Manual",16584,"Diesel",30,62.8,2
" 5 Series",2018,23998,"Semi-Auto",31649,"Diesel",145,45.6,2
" 1 Series",2020,29980,"Semi-Auto",4362,"Diesel",145,48.7,2
" 1 Series",2016,13000,"Manual",26631,"Petrol",125,52.3,1.5
" 2 Series",2019,25980,"Semi-Auto",5072,"Diesel",145,48.7,2
" 2 Series",2017,15552,"Semi-Auto",56718,"Diesel",145,65.7,2
" 4 Series",2016,16807,"Automatic",39218,"Diesel",30,65.7,2
" 5 Series",2016,15797,"Automatic",33689,"Diesel",30,62.8,2
" X1",2015,16998,"Semi-Auto",25649,"Diesel",125,57.6,2
" 3 Series",2015,18498,"Semi-Auto",27855,"Diesel",160,51.4,3
" X3",2019,35998,"Semi-Auto",2451,"Diesel",145,54.3,2
" 8 Series",2020,62995,"Semi-Auto",11,"Petrol",145,31.7,3
" Z4",2009,7999,"Automatic",63179,"Petrol",300,33.2,2.5
" 3 Series",2013,8480,"Manual",48681,"Petrol",150,47.9,1.6
" 5 Series",2019,33950,"Automatic",12,"Diesel",145,53.3,3
" 2 Series",2018,24995,"Semi-Auto",12793,"Petrol",150,39.8,3
" 3 Series",2017,15300,"Semi-Auto",16935,"Petrol",125,51.4,2
" 4 Series",2017,17557,"Automatic",36564,"Diesel",145,65.7,2
" X1",2017,18990,"Semi-Auto",34697,"Diesel",145,55.4,2
" 2 Series",2017,14200,"Manual",7329,"Petrol",125,52.3,1.5
" 2 Series",2016,12500,"Manual",22500,"Petrol",30,57.6,1.5
" X1",2017,16900,"Automatic",48364,"Diesel",150,55.4,2
" 1 Series",2014,11552,"Semi-Auto",66449,"Petrol",125,50.4,1.6
" X5",2019,51990,"Semi-Auto",5849,"Diesel",150,37.7,3
" X3",2019,30200,"Semi-Auto",19915,"Petrol",145,30.4,2
" X1",2016,20295,"Automatic",16917,"Diesel",145,55.4,2
" 2 Series",2020,29995,"Semi-Auto",1000,"Petrol",145,47.9,2
" 4 Series",2018,22470,"Semi-Auto",1998,"Diesel",145,60.1,2
" 1 Series",2019,15980,"Manual",4968,"Petrol",145,53.3,1.5
" 3 Series",2018,15490,"Manual",38631,"Diesel",145,62.8,2
" 1 Series",2017,17448,"Automatic",8000,"Petrol",150,54.3,1.5
" 1 Series",2018,14300,"Manual",13778,"Petrol",150,53.3,1.5
" 4 Series",2016,14250,"Automatic",57000,"Diesel",30,65.7,2
" 5 Series",2016,14550,"Automatic",56320,"Diesel",30,62.8,2
" 2 Series",2016,13995,"Manual",38412,"Diesel",30,64.2,2
" 2 Series",2019,23222,"Semi-Auto",5290,"Petrol",145,48.7,1.5
" 1 Series",2016,13700,"Automatic",22322,"Petrol",30,55.5,1.5
" M4",2017,34995,"Semi-Auto",23250,"Petrol",300,34,3
" 1 Series",2016,14270,"Manual",40358,"Diesel",30,65.7,2
" 2 Series",2019,19975,"Semi-Auto",9503,"Diesel",145,49.6,2
" 5 Series",2019,31580,"Automatic",8612,"Petrol",145,48.7,2
" X3",2016,17600,"Automatic",43410,"Diesel",145,54.3,2
" 4 Series",2016,15750,"Automatic",62046,"Diesel",30,65.7,2
" 1 Series",2019,20875,"Manual",4143,"Petrol",145,44.1,1.5
" X3",2013,13690,"Semi-Auto",30400,"Diesel",165,50.4,2
" X5",2016,31581,"Automatic",7658,"Diesel",205,47.1,3
" 1 Series",2019,26310,"Manual",123,"Diesel",145,53.3,2
" X1",2016,16597,"Automatic",47277,"Diesel",145,55.4,2
" 3 Series",2013,12822,"Manual",9276,"Petrol",160,44.8,2
" 1 Series",2019,32990,"Semi-Auto",3883,"Petrol",145,34.5,2
" X1",2016,14498,"Manual",57717,"Diesel",125,58.9,2
" X1",2019,25999,"Manual",99,"Petrol",145,52.3,1.5
" 5 Series",2019,27876,"Automatic",11598,"Diesel",145,60.1,2
" X1",2016,20295,"Semi-Auto",20800,"Petrol",160,44.8,2
" 4 Series",2019,25866,"Automatic",4767,"Petrol",145,48.7,2
" 3 Series",2016,16500,"Automatic",38438,"Other",0,134.5,2
" 3 Series",2018,16498,"Semi-Auto",33546,"Diesel",145,67.3,2
" 3 Series",2016,16900,"Automatic",38480,"Hybrid",0,148.7,2
" 3 Series",2019,25444,"Automatic",13033,"Petrol",145,42.2,2
" X5",2020,64995,"Semi-Auto",102,"Diesel",145,37.7,3
" 3 Series",2015,12500,"Automatic",70620,"Diesel",125,60.1,2
" 2 Series",2019,21980,"Automatic",6258,"Hybrid",135,148.7,1.5
" 5 Series",2019,32995,"Automatic",2000,"Diesel",145,60.1,2
" X1",2017,21250,"Semi-Auto",17962,"Petrol",165,44.8,2
" 2 Series",2015,15995,"Manual",19361,"Diesel",30,64.2,2
" 2 Series",2017,19980,"Automatic",25154,"Petrol",200,39.8,3
" X5",2020,59993,"Semi-Auto",500,"Diesel",145,37.7,3
" 3 Series",2017,18500,"Automatic",27139,"Diesel",160,51.4,3
" 5 Series",2016,16440,"Automatic",37323,"Diesel",125,60.1,2
" 3 Series",2016,12795,"Automatic",75400,"Hybrid",0,148.7,2
" 2 Series",2019,20190,"Manual",4648,"Petrol",145,42.8,1.5
" M3",2015,29991,"Semi-Auto",41500,"Petrol",305,34,3
" 2 Series",2014,10999,"Manual",61819,"Diesel",30,62.8,2
" 3 Series",2016,16899,"Automatic",45587,"Diesel",145,53.3,3
" 5 Series",2015,12450,"Automatic",79315,"Diesel",30,62.8,2
" 1 Series",2014,12000,"Manual",15520,"Diesel",30,64.2,2
" 3 Series",2013,9490,"Automatic",60000,"Diesel",30,62.8,2
" 1 Series",2013,7990,"Manual",46057,"Diesel",20,68.9,2
" 1 Series",2016,10690,"Manual",41718,"Petrol",125,53.3,1.5
" X5",2019,61550,"Automatic",11311,"Diesel",150,33.6,3
" 1 Series",2020,28455,"Semi-Auto",102,"Petrol",NA,42.8,1.5
" X1",2020,30495,"Semi-Auto",3530,"Diesel",145,40.9,2
" X5",2015,25995,"Automatic",46250,"Diesel",200,47.1,3
" 4 Series",2019,31495,"Semi-Auto",1133,"Diesel",145,65.7,2
" X2",2019,27000,"Semi-Auto",4724,"Diesel",145,58.9,2
" 1 Series",2013,10391,"Manual",31144,"Petrol",150,50.4,1.6
" 5 Series",2019,36995,"Semi-Auto",6142,"Petrol",145,39.2,3
" X1",2019,28790,"Semi-Auto",5628,"Petrol",145,44.8,2
" 1 Series",2019,16995,"Automatic",9399,"Diesel",145,70.6,2
" 1 Series",2018,15990,"Manual",13856,"Petrol",145,53.3,1.5
" 3 Series",2020,53260,"Semi-Auto",347,"Petrol",145,33.6,3
" M4",2017,36595,"Semi-Auto",10950,"Petrol",145,34,3
" 5 Series",2019,28370,"Semi-Auto",6251,"Petrol",145,50.4,2
" 1 Series",2015,8290,"Manual",35000,"Petrol",125,51.4,1.6
" X5",2020,48490,"Semi-Auto",5656,"Diesel",145,37.7,3
" 3 Series",2016,14975,"Manual",49000,"Diesel",120,60.1,2
" 1 Series",2018,16700,"Manual",16411,"Diesel",145,49.6,2
" 3 Series",2016,19495,"Semi-Auto",29125,"Diesel",150,56.5,3
" X3",2019,32450,"Semi-Auto",4125,"Diesel",145,54.3,2
" 3 Series",2019,24995,"Semi-Auto",7585,"Petrol",150,47.9,2
" X4",2016,21400,"Automatic",31084,"Diesel",145,54.3,2
" X4",2019,41376,"Automatic",9095,"Diesel",145,37.2,3
" 2 Series",2019,23490,"Semi-Auto",19,"Diesel",145,49.6,2
" 5 Series",2018,20850,"Automatic",22247,"Diesel",145,68.9,2
" X1",2017,18898,"Semi-Auto",27720,"Diesel",125,57.6,2
" 3 Series",2018,18300,"Automatic",30214,"Diesel",145,62.8,2
" X1",2017,18200,"Manual",21695,"Diesel",125,58.9,2
" 2 Series",2015,10500,"Automatic",44056,"Petrol",30,55.4,1.5
" 5 Series",2016,10117,"Manual",94419,"Diesel",30,65.7,2
" 1 Series",2017,15400,"Automatic",57414,"Diesel",145,68.9,1.5
" X1",2020,29995,"Semi-Auto",1501,"Diesel",145,50.4,2
" 1 Series",2019,25950,"Semi-Auto",6581,"Diesel",145,67.3,2
" 5 Series",2015,16990,"Semi-Auto",34250,"Diesel",30,62.8,2
" Z4",2014,11990,"Manual",36000,"Petrol",200,41.5,2
" X4",2015,19660,"Semi-Auto",52020,"Diesel",145,54.3,2
" 1 Series",2016,12498,"Manual",22103,NA,20,72.4,1.5
" 3 Series",2013,10490,"Automatic",95000,"Diesel",125,58.9,2
" 2 Series",2018,18990,"Semi-Auto",13600,"Petrol",150,38.2,2
" 4 Series",2017,17000,"Manual",36163,"Diesel",145,62.8,2
" X1",2016,18650,"Automatic",29330,"Diesel",145,55.4,2
" 3 Series",2019,22898,"Semi-Auto",12226,"Diesel",145,62.8,2
" 1 Series",2016,8999,"Manual",69647,"Diesel",0,78.5,1.5
" X5",2019,47156,"Automatic",6480,"Diesel",145,37.7,3
" 5 Series",2016,18000,"Automatic",32868,"Diesel",125,60.1,2
" 3 Series",2017,35990,"Semi-Auto",112,"Diesel",145,51.4,3
" X3",2018,29980,"Semi-Auto",5458,"Diesel",145,56.5,2
" 2 Series",2019,22292,"Manual",123,"Diesel",145,64.2,2
" 3 Series",2011,9750,"Automatic",44000,"Diesel",145,53.3,2
" X5",2014,20995,"Automatic",72442,"Diesel",200,47.1,3
" 5 Series",2016,14079,"Automatic",74322,"Diesel",30,62.8,2
" X6",2019,52990,"Semi-Auto",3086,"Diesel",145,34.9,3
" 2 Series",2016,11999,"Manual",56953,"Diesel",30,64.2,2
" 3 Series",2013,12330,"Semi-Auto",10050,"Petrol",160,47.1,2
" 3 Series",2019,31980,"Automatic",4869,"Diesel",145,50.4,2
" 2 Series",2018,19600,"Manual",15621,"Diesel",145,60.1,2
" 4 Series",2016,13950,"Manual",43480,"Diesel",30,62.8,2
" 1 Series",2019,19995,"Semi-Auto",4371,"Diesel",150,67.3,2
" X5",2019,44866,"Automatic",7259,"Diesel",145,37.7,3
" 2 Series",2019,19994,"Automatic",2268,"Petrol",145,42.2,1.5
" X3",2019,36500,"Semi-Auto",7503,"Petrol",150,34.5,3
" X5",2016,31200,"Automatic",23747,"Hybrid",0,85.6,2
" i8",2017,48898,"Automatic",36127,"Hybrid",0,134.5,1.5
" 5 Series",2017,21390,"Automatic",33543,"Diesel",150,65.7,2
" 3 Series",2018,20298,"Semi-Auto",26751,"Petrol",145,48.7,2
" Z3",1997,3950,"Manual",49000,"Petrol",270,35.3,1.9
" 5 Series",2019,25490,"Semi-Auto",5656,"Petrol",150,50.4,2
" 1 Series",2016,8999,"Manual",94300,"Diesel",0,83.1,1.5
" 5 Series",2013,8999,"Automatic",178987,"Hybrid",190,40.4,3
" 3 Series",2019,28999,"Semi-Auto",5000,"Diesel",145,52.3,2
" 5 Series",2019,42650,"Semi-Auto",4000,"Petrol",145,50.4,2
" 7 Series",2019,46990,"Semi-Auto",7515,"Diesel",150,42.2,3
" X5",2016,24980,"Automatic",68854,"Diesel",200,47.1,3
" 4 Series",2019,27999,"Automatic",5891,"Diesel",145,65.7,2
" 1 Series",2018,17141,"Semi-Auto",29869,"Diesel",150,65.7,2
" M4",2019,48500,"Semi-Auto",125,"Petrol",145,32.5,3
" 2 Series",2017,15099,"Manual",16309,"Diesel",145,65.7,2
" 5 Series",2019,29995,"Semi-Auto",9848,"Petrol",150,48.7,2
" 5 Series",2013,10750,"Automatic",78500,"Diesel",125,57.6,2
" M4",2020,56995,"Semi-Auto",1200,"Petrol",145,32.5,3
" 3 Series",2019,26524,"Semi-Auto",11727,"Petrol",145,41.5,2
" 4 Series",2015,13995,"Manual",33755,"Petrol",160,44.8,2
" 1 Series",2018,23052,"Semi-Auto",19959,"Petrol",145,39.8,3
" 5 Series",2018,27498,"Semi-Auto",13197,"Hybrid",140,156.9,2
" X2",2019,25526,"Semi-Auto",5161,"Diesel",145,61.4,2
" X2",2019,26950,"Semi-Auto",11386,"Diesel",145,58.9,2
" 5 Series",2019,35810,"Automatic",123,"Petrol",145,48.7,2
" X3",2015,13000,"Manual",105320,"Diesel",160,52.3,2
" 5 Series",2016,13000,"Manual",39178,"Diesel",30,65.7,2
" 2 Series",2019,22594,"Semi-Auto",8410,"Diesel",145,48.7,2
" 2 Series",2019,23230,"Semi-Auto",6932,"Petrol",145,50.4,2
" 5 Series",2019,30000,"Automatic",6000,"Diesel",145,60.1,2
" 3 Series",2019,23250,"Semi-Auto",12045,"Diesel",145,55.4,2
" X2",2019,26920,"Semi-Auto",5060,"Petrol",145,38.7,2
" X1",2017,18499,"Automatic",32236,"Diesel",145,65.7,2
" 2 Series",2016,11499,"Manual",37537,"Petrol",125,52.3,1.5
" 3 Series",2016,18990,"Automatic",30000,"Diesel",145,56.5,3
" X3",2015,19500,"Semi-Auto",41567,"Diesel",145,54.3,2
" 3 Series",2019,34450,"Semi-Auto",3500,"Diesel",145,45.6,3
" 3 Series",2018,18000,"Automatic",24716,"Diesel",150,64.2,NA
" M3",2009,16950,"Manual",65000,"Petrol",580,21.9,4
" X1",2019,34791,"Semi-Auto",3796,"Diesel",145,36.7,2
" 3 Series",2019,26498,"Semi-Auto",17794,"Diesel",145,48.7,2
" X3",2014,19950,"Semi-Auto",23693,"Diesel",145,54.3,2
" X2",2019,31980,"Semi-Auto",1151,"Diesel",145,50.4,2
" 3 Series",2017,16000,"Automatic",63887,"Diesel",125,57.6,2
" 3 Series",2015,11800,"Manual",30661,"Diesel",NA,67.3,2
" 1 Series",2017,14990,"Semi-Auto",26525,"Petrol",NA,55.5,1.5
" 3 Series",2017,19000,"Automatic",30000,NA,145,64.2,2
" 2 Series",2016,21995,"Semi-Auto",22642,"Petrol",260,35.8,3
" X4",2020,60995,"Semi-Auto",100,"Petrol",145,24.8,3
" X2",2019,21998,"Manual",5687,"Petrol",150,41.5,1.5
" 1 Series",2019,22995,"Manual",1000,"Petrol",145,44.1,1.5
" 3 Series",2020,32980,"Semi-Auto",1000,"Diesel",145,50.4,2
" 3 Series",2017,17650,"Manual",17170,"Diesel",150,60.1,2
" 1 Series",2017,13500,"Manual",34500,"Diesel",150,65.7,2
" 4 Series",2017,20385,"Semi-Auto",19221,"Diesel",145,65.7,2
" 2 Series",2018,16419,"Manual",11198,"Petrol",145,42.2,1.5
" 4 Series",2017,19298,"Semi-Auto",27119,"Diesel",145,65.7,2
" 5 Series",2017,19995,"Semi-Auto",34828,"Diesel",30,68.9,2
" 5 Series",2019,26350,"Semi-Auto",4694,"Diesel",145,65.7,2
" 2 Series",2015,123456,"Semi-Auto",33419,"Diesel",20,68.9,2
" 3 Series",2011,9990,"Automatic",77000,"Diesel",200,45.6,3
" 4 Series",2019,26550,"Semi-Auto",7292,"Diesel",145,58.9,2
" 1 Series",2019,24572,"Semi-Auto",5916,"Petrol",145,40.4,1.5
" 5 Series",2017,21995,"Automatic",18820,"Diesel",145,65.7,2
" 2 Series",2015,10860,"Manual",46904,"Diesel",20,74.3,1.5
" i3",2017,18999,"Automatic",20321,"Electric",135,470.8,NA
" 3 Series",2012,8995,"Automatic",53333,"Diesel",20,68.9,2
" 2 Series",2015,13000,"Manual",24600,"Petrol",145,47.9,2
" 3 Series",2018,18999,"Automatic",15377,"Diesel",145,56.5,3
